,Unnamed: 0,Unnamed: 0.1,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance,RiskPerformance_pred,score,RiskPerformance_Good,RiskPerformance_Bad
0,0,0,55.0,144.0,4.0,84.0,20.0,3.0,0.0,83.0,2.0,3.0,5.0,23.0,1.0,43.0,0.0,0.0,0.0,33.0,-8.0,8.0,1.0,1.0,69.0,Bad,Bad,0.7474544,0,1
1,1,0,61.0,58.0,15.0,41.0,2.0,4.0,4.0,100.0,-7.0,0.0,8.0,7.0,0.0,67.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,-8.0,0.0,Bad,Bad,0.89149475,0,1
2,2,0,67.0,66.0,5.0,24.0,9.0,0.0,0.0,100.0,-7.0,7.0,8.0,9.0,4.0,44.0,0.0,4.0,4.0,53.0,66.0,4.0,2.0,1.0,86.0,Bad,Bad,0.9006255,0,1
3,3,0,66.0,169.0,1.0,73.0,28.0,1.0,1.0,93.0,76.0,6.0,6.0,30.0,3.0,57.0,0.0,5.0,4.0,72.0,83.0,6.0,4.0,3.0,91.0,Bad,Bad,0.7109850000000001,0,1
4,4,0,81.0,333.0,27.0,132.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,0.0,25.0,0.0,1.0,1.0,51.0,89.0,3.0,1.0,0.0,80.0,Good,Good,0.5476346,1,0
5,5,0,59.0,137.0,11.0,78.0,31.0,0.0,0.0,91.0,1.0,4.0,6.0,32.0,1.0,47.0,0.0,0.0,0.0,62.0,93.0,12.0,4.0,3.0,94.0,Bad,Bad,0.7367541999999999,0,1
6,6,0,54.0,88.0,7.0,37.0,25.0,0.0,0.0,92.0,9.0,4.0,6.0,26.0,3.0,58.0,0.0,4.0,4.0,89.0,76.0,7.0,7.0,2.0,100.0,Bad,Bad,0.90234673,0,1
7,7,0,68.0,148.0,7.0,65.0,17.0,0.0,0.0,83.0,31.0,6.0,6.0,18.0,1.0,44.0,0.0,0.0,0.0,28.0,48.0,2.0,2.0,2.0,40.0,Bad,Bad,0.51321363,0,1
8,8,0,59.0,324.0,2.0,138.0,24.0,0.0,0.0,85.0,5.0,4.0,6.0,27.0,1.0,26.0,0.0,1.0,1.0,68.0,-8.0,7.0,1.0,3.0,90.0,Bad,Bad,0.6408052,0,1
9,9,0,61.0,79.0,4.0,36.0,19.0,0.0,0.0,95.0,5.0,4.0,6.0,19.0,3.0,26.0,0.0,6.0,6.0,31.0,86.0,5.0,3.0,1.0,62.0,Bad,Bad,0.6977890999999999,0,1
10,10,0,82.0,96.0,5.0,47.0,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,3.0,31.0,0.0,0.0,0.0,15.0,88.0,4.0,2.0,0.0,67.0,Good,Good,0.5976239999999999,1,0
11,11,0,50.0,311.0,25.0,76.0,12.0,1.0,0.0,60.0,2.0,3.0,5.0,15.0,0.0,20.0,0.0,1.0,1.0,84.0,64.0,5.0,2.0,2.0,88.0,Bad,Bad,0.91908216,0,1
12,12,0,74.0,274.0,2.0,66.0,23.0,0.0,0.0,100.0,-7.0,6.0,8.0,28.0,4.0,39.0,0.0,2.0,2.0,18.0,65.0,3.0,5.0,1.0,67.0,Good,Good,0.59051967,1,0
13,13,0,69.0,256.0,6.0,117.0,11.0,1.0,1.0,100.0,-7.0,7.0,8.0,14.0,1.0,8.0,0.0,0.0,0.0,13.0,-8.0,2.0,-8.0,0.0,67.0,Good,Good,0.68190336,1,0
14,14,0,63.0,262.0,26.0,95.0,3.0,2.0,2.0,75.0,27.0,6.0,4.0,6.0,0.0,100.0,0.0,0.0,0.0,-8.0,-8.0,-8.0,1.0,-8.0,100.0,Bad,Bad,0.7085148,0,1
15,15,0,63.0,184.0,3.0,77.0,34.0,0.0,0.0,97.0,32.0,6.0,6.0,36.0,2.0,36.0,0.0,11.0,10.0,71.0,80.0,10.0,2.0,3.0,82.0,Bad,Bad,0.8171019,0,1
16,16,0,61.0,256.0,19.0,68.0,14.0,0.0,0.0,87.0,0.0,4.0,6.0,15.0,0.0,33.0,0.0,2.0,1.0,62.0,68.0,3.0,3.0,1.0,86.0,Bad,Bad,0.68143046,0,1
17,17,0,62.0,131.0,4.0,59.0,16.0,4.0,2.0,79.0,23.0,6.0,5.0,20.0,4.0,58.0,0.0,4.0,4.0,25.0,91.0,3.0,4.0,1.0,70.0,Bad,Bad,0.8267869000000001,0,1
18,18,0,89.0,244.0,9.0,147.0,10.0,0.0,0.0,100.0,-7.0,7.0,8.0,10.0,1.0,10.0,0.0,0.0,0.0,3.0,-8.0,2.0,-8.0,0.0,50.0,Good,Good,0.7524788,1,0
19,19,0,65.0,43.0,2.0,26.0,15.0,1.0,1.0,100.0,-7.0,7.0,8.0,17.0,2.0,25.0,0.0,4.0,4.0,31.0,83.0,5.0,1.0,0.0,75.0,Bad,Bad,0.7504092,0,1
20,20,0,57.0,147.0,4.0,73.0,27.0,1.0,1.0,97.0,1.0,0.0,2.0,31.0,2.0,48.0,0.0,4.0,4.0,44.0,87.0,3.0,2.0,3.0,56.0,Bad,Bad,0.89335245,0,1
21,21,0,72.0,365.0,11.0,83.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,1.0,41.0,0.0,0.0,0.0,49.0,23.0,6.0,2.0,1.0,73.0,Good,Good,0.59204143,1,0
22,22,0,72.0,84.0,4.0,53.0,29.0,0.0,0.0,100.0,-7.0,7.0,8.0,30.0,2.0,27.0,0.0,1.0,1.0,43.0,48.0,9.0,5.0,3.0,64.0,Bad,Bad,0.6138383000000001,0,1
23,23,0,65.0,88.0,9.0,45.0,20.0,0.0,0.0,85.0,1.0,4.0,6.0,20.0,1.0,20.0,0.0,0.0,0.0,14.0,71.0,4.0,2.0,1.0,50.0,Bad,Bad,0.75908583,0,1
24,24,0,64.0,91.0,4.0,55.0,19.0,1.0,1.0,90.0,0.0,0.0,2.0,20.0,2.0,50.0,0.0,2.0,2.0,24.0,81.0,6.0,3.0,1.0,82.0,Bad,Bad,0.9474737,0,1
25,25,0,58.0,265.0,3.0,79.0,25.0,2.0,1.0,93.0,13.0,0.0,5.0,28.0,2.0,48.0,0.0,1.0,1.0,63.0,50.0,8.0,2.0,0.0,91.0,Bad,Bad,0.86771214,0,1
26,26,0,58.0,150.0,16.0,72.0,18.0,2.0,0.0,55.0,4.0,4.0,5.0,22.0,0.0,45.0,0.0,1.0,1.0,79.0,38.0,7.0,3.0,0.0,91.0,Bad,Bad,0.8749261999999999,0,1
27,27,0,79.0,162.0,7.0,94.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,1.0,29.0,0.0,0.0,0.0,28.0,-8.0,3.0,1.0,1.0,57.0,Good,Good,0.6395743,1,0
28,28,0,66.0,284.0,32.0,107.0,15.0,2.0,2.0,82.0,3.0,4.0,4.0,17.0,0.0,53.0,0.0,1.0,1.0,19.0,50.0,3.0,2.0,1.0,63.0,Bad,Bad,0.66656953,0,1
29,29,0,69.0,476.0,8.0,157.0,38.0,4.0,4.0,100.0,-7.0,6.0,8.0,39.0,1.0,36.0,0.0,4.0,4.0,50.0,54.0,14.0,2.0,4.0,89.0,Bad,Bad,0.66428053,0,1
30,30,0,71.0,179.0,3.0,62.0,15.0,3.0,2.0,83.0,37.0,6.0,2.0,18.0,4.0,33.0,0.0,5.0,5.0,5.0,9.0,1.0,1.0,0.0,22.0,Bad,Bad,0.63144284,0,1
31,31,0,54.0,114.0,12.0,49.0,9.0,3.0,3.0,64.0,4.0,0.0,2.0,12.0,0.0,27.0,0.0,0.0,0.0,62.0,14.0,6.0,2.0,1.0,100.0,Bad,Bad,0.8879473,0,1
32,32,0,68.0,133.0,7.0,44.0,39.0,2.0,2.0,100.0,-7.0,6.0,8.0,39.0,4.0,67.0,0.0,2.0,2.0,15.0,73.0,5.0,2.0,0.0,50.0,Bad,Bad,0.6538199,0,1
33,33,0,75.0,164.0,4.0,66.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,2.0,21.0,0.0,0.0,0.0,53.0,92.0,5.0,1.0,1.0,55.0,Bad,Bad,0.52551246,0,1
34,34,0,67.0,118.0,6.0,37.0,23.0,2.0,2.0,88.0,70.0,6.0,2.0,26.0,5.0,42.0,0.0,0.0,0.0,31.0,70.0,5.0,3.0,1.0,67.0,Bad,Bad,0.54124314,0,1
35,35,0,88.0,153.0,33.0,92.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,0.0,7.0,0.0,0.0,0.0,1.0,-8.0,1.0,-8.0,0.0,25.0,Good,Good,0.6347432,1,0
36,36,0,51.0,186.0,13.0,96.0,22.0,3.0,1.0,84.0,2.0,0.0,2.0,25.0,0.0,56.0,0.0,4.0,3.0,79.0,50.0,5.0,3.0,3.0,100.0,Bad,Bad,0.8909169,0,1
37,37,0,70.0,127.0,25.0,57.0,23.0,0.0,0.0,96.0,-8.0,6.0,6.0,24.0,0.0,13.0,0.0,0.0,0.0,51.0,-8.0,9.0,-8.0,1.0,67.0,Bad,Bad,0.70999295,0,1
38,38,0,65.0,116.0,10.0,37.0,14.0,1.0,1.0,93.0,72.0,6.0,2.0,15.0,1.0,13.0,0.0,2.0,2.0,52.0,-8.0,3.0,1.0,2.0,56.0,Bad,Bad,0.7251763000000001,0,1
39,39,0,78.0,21.0,4.0,13.0,11.0,0.0,0.0,100.0,-7.0,7.0,8.0,11.0,5.0,64.0,0.0,3.0,3.0,7.0,-8.0,3.0,-8.0,0.0,75.0,Bad,Bad,0.9264548,0,1
